Epoch,Time,Epoch Loss,Accuracy,Sample Name
0,578.6559440000002,346980.8636620695,0.1853388658367912,Barp
1,1000.080795,316152.0187053857,0.22130013831258644,Karoton
2,1412.383346,308174.6828942961,0.2157676348547718,Ganie
3,1833.3654760000002,303938.5153639211,0.2406639004149377,Coush
4,2268.317929,301391.5827698291,0.2268326417704011,Balk
5,2673.576504,299875.2422256444,0.2365145228215768,Ronin
6,3080.275787,298781.74149285216,0.2627939142461964,Bander
7,3485.38559,297874.3709996655,0.2378976486860304,Plookewbey
8,3883.8935020000004,297341.98793143145,0.2434301521438451,Kruek
9,4272.9625369999985,296732.34257732925,0.2309820193637621,Bartong
0,4678.646511999998,296181.04859784484,0.2143845089903181,Farn
0,4711.703423,16107.689981916543,0.2406639004149377,Kary
1,4736.842826,15985.916807869795,0.22268326417704007,Rones
2,4761.252762,15797.893935742148,0.2503457814661134,Melte
3,4785.410163000001,16036.497964683884,0.2406639004149377,Shemtocher
4,4809.889021,15860.908369055727,0.2365145228215768,Bores
5,4834.1499079999985,16091.875123419919,0.22544951590594745,Wonrás
6,4858.195742,16017.039013755284,0.2378976486860304,Schafler
7,4882.239765,16160.815931774732,0.2544951590594744,Martil
8,4903.6627549999985,15795.551150127605,0.2116182572614108,Kaylo
9,4925.064331000001,15723.377234476822,0.2434301521438451,Stanar
0,4948.469822,16147.842108285733,0.21715076071922546,Tergz
1,4972.620388,16246.996320390124,0.2199170124481328,Grawpher
2,4994.494201,16395.832493399215,0.21300138312586445,om
3,5016.835839,15723.46570200772,0.2669432918395574,Varmai
4,5039.44721,16050.333851844209,0.2074688796680498,-hapardendard
5,5060.886187,15843.1279137644,0.2351313969571231,Mahoney
6,5082.162633,15663.93987009454,0.2392807745504841,Kelk
7,5103.63574,15905.40636194984,0.23374827109266946,Tenae
8,5124.849534,16272.695927503491,0.21300138312586445,Gaho
9,5146.402777,16183.890325243003,0.2406639004149377,Scheggalar
10,5167.67227,15970.245711837493,0.2392807745504841,Cremp
11,5189.10465,15664.977607383698,0.2378976486860304,Reang
12,5210.593914,15934.113438783756,0.2378976486860304,Yupliphos
13,5231.940554,15732.219545466036,0.2392807745504841,Panco
14,5253.41576,15970.831826192669,0.2434301521438451,Thusser
15,5275.056786,16049.733289745727,0.2406639004149377,McBoyn
16,5296.713829,15919.289680053032,0.2116182572614108,Mail
17,5317.999434,16050.565831487998,0.20885200553250347,Ryell
18,5339.443,15792.513254050087,0.22406639004149376,Higue
19,5360.758936,15759.644638939832,0.2434301521438451,Erlen
20,5382.662396,16023.686943528406,0.2406639004149377,Monedy
21,5404.4327939999985,16031.581266622945,0.22406639004149376,Sickerl
22,5426.810027,16095.043286659758,0.22406639004149376,Ondens
23,5449.353575,16188.000865274229,0.2309820193637621,HeDinez
0,5460.45298,7731.229040631367,0.24204702627939145,Sameens
1,5472.2109789999995,7963.985814254691,0.24204702627939145,Shaudo
2,5483.430654,7799.468597405237,0.22268326417704007,Kobricf
3,5494.79408,7840.667366916431,0.2268326417704011,Qurofliiand
4,5506.160849,7534.015473862227,0.23236514522821575,Gósty
5,5517.503541,7663.974969307187,0.2309820193637621,Ratty
6,5529.018095,7534.485600647347,0.2199170124481328,Ward
7,5540.234211,7705.888488193983,0.2365145228215768,Hangler
8,5551.546484,7584.687069692737,0.2434301521438451,Coson
9,5563.118638,7920.613904564248,0.24481327800829875,Blandofr
10,5574.412295,7650.429800531154,0.2378976486860304,Jondett
11,5585.790508,7666.694003454026,0.2475795297372061,Phithrocks
12,5597.19065,7662.38895229747,0.2378976486860304,Firrishj
13,5608.643773,7702.728525378019,0.2282157676348548,Halmusen
14,5620.212861,7918.316066967054,0.22544951590594745,Lyrh
15,5631.755236,7573.539422236897,0.2351313969571231,Batun
16,5643.430337,7943.464361627475,0.2475795297372061,Pristeuicheuh
17,5654.705433,7464.652101544263,0.2503457814661134,Pentor
18,5665.986582,7578.948507312831,0.2268326417704011,Letcadanco
19,5677.208732,7486.565573743844,0.2517289073305671,Ancingris
0,5688.3955,7839.934573105399,0.2268326417704011,Brofett
1,5699.605762,7608.7085656029885,0.25864453665283543,Tayly
2,5710.909737,7504.354081291762,0.2157676348547718,Hant
3,5722.113357,7362.891020261456,0.24204702627939143,Thard
4,5733.527361,7900.913143650307,0.22821576763485477,Wolsonder
5,5744.947633,7781.382682894314,0.2475795297372061,Collinkows
6,5756.074396,7440.497010411977,0.2351313969571231,Picharg
7,5767.463929,7693.910436838587,0.22544951590594745,Hablin
8,5778.873804,7350.415258557039,0.2475795297372061,Spyenoh
9,5790.254975,7715.076165776825,0.2268326417704011,Herrin
10,5801.561417,7680.944314867387,0.2392807745504841,Ighoon
11,5812.740879,7517.206308845896,0.25587828492392806,Tudman
12,5824.164275,7612.131531583473,0.25587828492392806,Barnetttchey
13,5835.657004,7785.226422582711,0.2572614107883817,Solton
14,5847.061041,7626.376075515607,0.23789764868603042,McKoll
15,5858.352545,7609.600808953934,0.23098201936376211,Anstome
16,5869.794129,7761.230135140242,0.2351313969571231,Learnaial
17,5881.140714,7559.944533259029,0.24481327800829875,McWills
18,5892.291549,7434.076560990046,0.2517289073305671,Dichart
19,5903.874116,7865.608359040374,0.25587828492392806,Frown
