Epoch,Time,Epoch Loss,Accuracy,Sample Name
0,391.528592,311405.2509647265,0.214413266309521,Weo
1,768.229463,259384.50071877285,0.2965331697071248,Ed
2,1291.047857,235858.6346048376,0.3353471943611891,Hou
3,1834.762259,223968.60216355932,0.3570591335677593,Tom
4,2381.538858,217532.5858461992,0.3495622212257805,Bradian
5,2927.200169,212727.04234127232,0.3748613503882189,Denry
6,3472.157868,209310.79887001964,0.3883211793673644,Joe
7,4017.5716,207079.95939598297,0.3960147578253447,Wark
8,4563.107274,204978.46736930244,0.3945515619222933,Edgianderpry
9,5108.08284,203613.3027498964,0.4046523336401325,Dave
10,5653.998659,202241.94886225587,0.4005852783612206,Chris
11,6186.98521,201009.7392688096,0.4079248578103981,Pas
12,6724.986355,200105.5461096752,0.405997529873583,Brian
13,7260.480812,199026.25663581825,0.4019698078178714,Johnny
14,7795.612253,198485.869085728,0.4139507076046854,Joe
15,8329.276236,197808.6428035368,0.4205036225898567,Buddy
16,8861.750262,197266.1747965332,0.4018360748589904,Darollon
17,9393.897781,196595.02923837167,0.4113783148073852,B
18,9937.071354,196195.222645712,0.4221162847410694,Clarem
19,10478.15283,195769.58647884967,0.4201496235810539,Paxe
0,10860.289924,189073.3732887021,0.4322406563928287,Jayven
1,11227.777986,188292.1698582281,0.4291805316278447,Key
2,11738.419618,188047.4254077544,0.4357098466790959,Mavian
3,12281.668235,187990.0163506928,0.4364965111431021,Dosuss
4,12824.912735,187892.16432910683,0.4298649297115301,Hank
5,13356.123865,187841.14727458957,0.4391869036100032,As
6,13888.339987,187797.0020671284,0.4348917156365295,Yars H
7,14421.05523,187469.3505507504,0.436858376796545,Johnnie
8,14953.78198,187464.97201614288,0.4352771812238926,Koo
9,15484.523137,187242.49768011292,0.4368505101519049,Enges
10,16017.268447,187291.79391671735,0.4380777067157545,Garver
11,16548.00083,187171.94767228008,0.435851446282617,Bud
12,17078.930446,186919.78434399204,0.4346714495866078,John
13,17611.501294,187308.94523009143,0.4350411818846907,Bob
14,18154.110845,186810.37845070465,0.4329565210550744,Harry
15,18686.149026,186889.60596664203,0.4277960021711939,Allas
16,19218.765658,186970.0228414752,0.436866243441185,Paul
17,19751.220813,186854.4977320126,0.4240042794546842,German
18,20281.966033,186901.72663020523,0.4398791683383286,Toldh
19,20813.182898,186916.5952978637,0.4349861153722102,Aurin
0,21207.977377,183692.60794374824,0.44317529244251447,Eric
1,21602.8969,183040.63544109414,0.44351355816203714,Jandy
2,21983.578225,183206.76474122464,0.44133449759674004,Jeff
3,22496.257728,183279.87163836797,0.43908463722968244,Marvor
4,23042.053998,183377.16868791237,0.4407130326701752,Tom
5,23585.977514,183231.27194469958,0.4398319684704883,Eddie
6,24127.965176,183344.41761545494,0.4414446306217009,Johnny
7,24669.330264,183406.9448516819,0.4404534333970532,Pat
8,25209.33226,183223.50296964557,0.4446306217009259,Len
9,25754.085745,183396.6949144632,0.44268756047483065,Naxtisgon
10,26296.839234,183194.31874584535,0.4400050346525696,Dick
11,26841.019182,183306.84700515438,0.4431516925085943,Albert
12,27385.384393,183288.75598605032,0.44378102407979925,Shawn
13,27926.765245,183173.63930009017,0.4393599697920846,Hawey
14,28473.008744,183095.4444186278,0.43921050354392344,Joe
15,29015.074509,183221.8637256689,0.43977690195800784,Waubvelvy
16,29561.394365,183463.16094334575,0.4467860823323028,Jay
17,30108.806711,183291.95498363915,0.4381249065835949,Lohlie
18,30657.786052,183268.62055509735,0.4392577034117638,Wennis
19,31203.980997,183277.5344076365,0.44318315908715455,Alboan
20,31748.686963,183462.73264882257,0.4425223609373894,Harry
21,32291.661445,183392.77425111193,0.44379675736907936,Johnny
22,32825.566315,183512.32978045617,0.4443002226260433,Danie
23,33361.848588,183415.63876854803,0.4384002391459971,Julionlael
24,33893.394946,183528.83176359953,0.44232569482138784,Alex
25,34424.590301,183433.71297333288,0.4432303589549949,Eddie
26,34958.039314,183401.76248117822,0.44570835201661435,Eddie
27,35490.292758,183632.6080092295,0.44658941621630127,Phil
28,36024.210318,183407.65482969943,0.4389430376261613,Aarry
29,36556.292267,183734.05230911283,0.44306515941755364,Roy
30,37047.450717,183546.8144274212,0.44233356146602787,George
31,37428.32581,183485.1513741946,0.44281342678907165,Johnny
32,37941.562638,183712.95869679184,0.4394937027509656,Geroe
33,38475.997306,183596.25388233174,0.44326969217819523,John
34,39008.686201,183550.15969212164,0.43866770506375913,Billy
35,39540.285154,183408.32779505476,0.4420110290357854,Pedro
36,40070.48516,183460.06577681887,0.44242796120170863,Paul
37,40603.442237,183575.48044869985,0.4421447619946664,Lew
38,41138.879904,183295.4841283711,0.43899810413864176,Keoron
39,41667.668729,183287.5333055282,0.4376057080373508,Les
40,42200.963434,183462.8824403223,0.44314382586395423,Jim
41,42734.685878,183238.94591322177,0.43872277157623957,Chardin
42,43269.575417,183387.5938751734,0.4468568821340634,Harew
43,43804.879868,183111.80252090778,0.445794885107655,Brian
44,44341.209131,183352.28256068417,0.44194809587866485,Chea
45,44877.519748,183239.48938022074,0.4384238390799172,Andy
46,45408.68746,183160.26336183192,0.43934423650280446,Lew
47,45941.283731,183119.04436948488,0.4413030310181798,Ed
48,46473.260136,183074.88416713144,0.4431280925746741,Kevin
49,47006.789047,183058.7970478069,0.44152329706810156,Pete
50,47538.797115,183091.34876995606,0.4438675571708399,Art
